Titulo,Cifra,Fecha,Valor,Año,Mes,Nombre_Mes,Dia,Serie
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/04/2016,121.748592,2016,4,April,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/05/2016,119.9480687,2016,5,May,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/06/2016,119.9720082,2016,6,June,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/07/2016,120.6561748,2016,7,July,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/08/2016,121.2017796,2016,8,August,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/09/2016,121.4734798,2016,9,September,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/10/2016,123.0090783,2016,10,October,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/11/2016,125.0548989,2016,11,November,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/12/2016,125.5709061,2016,12,December,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/01/2017,131.1293975,2017,1,January,1,Canasta Básica
"Índice nacional de precios al consumidor. Base segunda quincena de diciembre 2010=100 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC), Canasta básica",97.22461809,01/02/2017,132.0276987,2017,2,February,1,Canasta Básica
